sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,small_image,thumbnail_image,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
ASP-V4821DD,,Default,simple,Default Category/Shop Cabinets/Bathroom Cabinets/Aspen White,,"Aspen White Vanity- Cabinet 48""Wx21""Dx 34 1/2""H with Drawers","Aspen White Vanity- Cabinet 48""Wx21""D with Drawers it measures 24""WX21""DX34""H Sink Base",60,1,0,"Catalog, Search",1035.89,445.4327,,,"aspen-white-vanity-cabinet-48""wx21""dx-34-1/2""h-with-drawers-asp-v4821dd""",,,,,,,,,,,,,,,,,,,,,,"free_sample=""No"",is_assemble=""1"",warehouse_zipcode=""31513"",kitchen_cabinet_sort_order=""620""",999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASP-V6021DD,,Default,simple,Default Category/Shop Cabinets/Bathroom Cabinets/Aspen White,,"Aspen White Vanity- Cabinet 60""Wx21""D with Drawersx 34 1/2""H","Aspen White Vanity- Cabinet 60""Wx21""D with Drawers it measures 60""X21""DX34.5""H Sink Base",72,1,0,"Catalog, Search",1148.15,493.7045,,,"aspen-white-vanity-cabinet-60""wx21""d-with-drawersx-34-1/2""h-asp-v6021dd""",,,,,,,,,,,,,,,,,,,,,,"free_sample=""No"",is_assemble=""1"",warehouse_zipcode=""31513"",kitchen_cabinet_sort_order=""625""",999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASP-VDB1221,,Default,simple,Default Category/Shop Cabinets/Bathroom Cabinets/Aspen White,,"Aspen White Vanity- 3 Drawer Base 12'WX21""Dx34 1/2""H","Aspen White Vanity- 3 Drawer Base 12'WX21""D it measures 12""WX21""DX34.5""H has 3 drawers",34,1,0,"Catalog, Search",600.89,258.3827,,,"aspen-white-vanity-3-drawer-base-12'wx21""dx34-1/2""h-asp-vdb1221""",,,,,,,,,,,,,,,,,,,,,,"free_sample=""No"",is_assemble=""1"",warehouse_zipcode=""31513"",kitchen_cabinet_sort_order=""630""",999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASP-AG2418,,Default,simple,Default Category/Shop Cabinets/Kitchen Cabinets/Aspen White/Accessories,,"Aspen White- Appliance Garage 24""x18""","Aspen White- Appliance Garage 24""x18""",25,1,0,"Catalog, Search",373.04,160.4072,,,"aspen-white-appliance-garage-24""x18""-asp-ag2418""",,,,,,,,,,,,,,,,,,,,,,"free_sample=""No"",is_assemble=""1"",warehouse_zipcode=""31513"",kitchen_cabinet_sort_order=""635""",999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASP-CBLPN2,,Default,simple,Default Category/Shop Cabinets/Kitchen Cabinets/Aspen White/Accessories,,Aspen White- Corbel,"Aspen White Corbel 2 is 4 3/4""w x 5""d x 9 1/2"".",6,1,0,"Catalog, Search",203.33,87.4319,,,"aspen-white-corbel-asp-cblpn2""",,,,,,,,,,,,,,,,,,,,,,"free_sample=""No"",is_assemble=""1"",warehouse_zipcode=""31513"",kitchen_cabinet_sort_order=""640""",999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASP-CBLPN3,,Default,simple,Default Category/Shop Cabinets/Kitchen Cabinets/Aspen White/Accessories,,Aspen White- Corbel,"Aspen White Corbel 3 is 6 1/4""w x 6 1/2""d x 13 1/4"".",6,1,0,"Catalog, Search",281.32,120.9676,,,"aspen-white-corbel-asp-cblpn3""",,,,,,,,,,,,,,,,,,,,,,"free_sample=""No"",is_assemble=""1"",warehouse_zipcode=""31513"",kitchen_cabinet_sort_order=""645""",999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASP-LWR3015,,Default,simple,Default Category/Shop Cabinets/Kitchen Cabinets/Aspen White/Accessories,,"Aspen White- Lattice Wine Rack 30""x15""","Aspen White Lattice Wine Rack. It measures 30""h x 15""w x 12""d. It can hold 11 bottles at a 3.75"" diameter.",20,1,0,"Catalog, Search",294.76,126.7468,,,"aspen-white-lattice-wine-rack-30""x15""-asp-lwr3015""",,,,,,,,,,,,,,,,,,,,,,"free_sample=""No"",is_assemble=""1"",warehouse_zipcode=""31513"",kitchen_cabinet_sort_order=""650""",999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASP-MD1530,,Default,simple,Default Category/Shop Cabinets/Kitchen Cabinets/Aspen White/Accessories,,"Aspen White- Mullion Door 15""x30""","Aspen White- Mullion Door 15""x30"" fits only 15'WX30""H Cabinet",4,0,0,Not Visible Individually,0,0,,,"aspen-white-mullion-door-15""x30""-asp-md1530""",,,,,,,,,,,,,,,,,,,,,,"free_sample=""No"",is_assemble=""1"",warehouse_zipcode=""31513"",kitchen_cabinet_sort_order=""655""",999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASP-MD1536,,Default,simple,Default Category/Shop Cabinets/Kitchen Cabinets/Aspen White/Accessories,,"Aspen White- Mullion Door 15""x36""","Aspen White- Mullion Door 15""x36"" fits only 15""WX36""H Cabinet",5,0,0,Not Visible Individually,0,0,,,"aspen-white-mullion-door-15""x36""-asp-md1536""",,,,,,,,,,,,,,,,,,,,,,"free_sample=""No"",is_assemble=""1"",warehouse_zipcode=""31513"",kitchen_cabinet_sort_order=""660""",999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASP-MD1542,,Default,simple,Default Category/Shop Cabinets/Kitchen Cabinets/Aspen White/Accessories,,"Aspen White- Mullion Door 15""x42""","Aspen White- Mullion Door 15""x42"" fits only 15""WX42""H Cabinet",6,0,0,Not Visible Individually,0,0,,,"aspen-white-mullion-door-15""x42""-asp-md1542""",,,,,,,,,,,,,,,,,,,,,,"free_sample=""No"",is_assemble=""1"",warehouse_zipcode=""31513"",kitchen_cabinet_sort_order=""665""",999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
